User-ID,Location,Age,Country
44,"black mountain, north carolina, usa",51.0,usa
56,"cheyenne, wyoming, usa",24.0,usa
67,"framingham, massachusetts, usa",43.0,usa
75,"long beach, california, usa",37.0,usa
92,"castellar del valles, barcelona, spain",20.0,spain
99,"franktown, colorado, usa",42.0,usa
114,"ligonier, pennsylvania, usa",57.0,usa
133,"jacksonville, florida, usa",45.0,usa
139,"baltimore, maryland, usa",35.0,usa
160,"almada, n/a, portugal",20.0,portugal
165,"olympia, washington, usa",62.0,usa
176,"london, london, united kingdom",34.0,united kingdom
178,"rexford, new york, usa",28.0,usa
182,"buitenpost, fryslân, netherlands",36.0,netherlands
183,"porto, porto, portugal",27.0,portugal
199,"austin, texas, usa",38.0,usa
232,"mumbai, maharashtra, india",16.0,india
242,"neuffen, baden-wuerttemberg, germany",37.0,germany
254,"minneapolis, minnesota, usa",24.0,usa
272,"walla walla, washington, usa",20.0,usa
361,"premià de dalt, barcelona, spain",25.0,spain
362,"thunder bay, ontario, canada",63.0,canada
384,"bucuresti, n/a, romania",23.0,romania
387,"charity, missouri, usa",17.0,usa
388,"nashville, tennessee, usa",35.0,usa
392,"barcelona, catalunya, spain",44.0,spain
393,"brighton, east sussex, united kingdom",24.0,united kingdom
408,"mountain view, california, usa",17.0,usa
413,"naperville, illinois, usa",17.0,usa
424,"portland, oregon, usa",29.0,usa
433,"smock, pennsylvania, usa",48.0,usa
440,"brookfield, wisconsin, usa",16.0,usa
444,"sweet home, oregon, usa",40.0,usa
486,"portland, oregon, usa",31.0,usa
496,"west salem, wisconsin, usa",51.0,usa
500,"san antonio, texas, usa",17.0,usa
503,"el centro, california, usa",40.0,usa
505,"washington, dc, usa",51.0,usa
595,"hollywood, florida, usa",17.0,usa
596,"san francisco, california, usa",49.0,usa
620,"toronto, ontario, canada",45.0,canada
625,"marseille, provence, france",41.0,france
626,"graz, steiermark, austria",41.0,austria
638,"san diego, california, usa",20.0,usa
643,"grenoble, rhone-alpes, france",23.0,france
651,"interlachen, florida, usa",26.0,usa
709,"roanoke, virginia, usa",14.0,usa
711,"oxford, england, united kingdom",27.0,united kingdom
712,"pratteln, baselland, switzerland",29.0,switzerland
726,"eatontown, new jersey, usa",31.0,usa
730,"albuquerque, new mexico,",69.0,
735,"cortland, new york, usa",29.0,usa
741,"novinger, missouri, usa",16.0,usa
744,"ocala, florida, usa",48.0,usa
746,"longmont, colorado, usa",36.0,usa
776,"auckland, n/a, new zealand",23.0,new zealand
777,"portland, ,",13.0,
805,"sonoma, california, usa",34.0,usa
834,"rockville, maryland, usa",17.0,usa
835,"collegno, piemonte, italy",35.0,italy
843,"deer lodge, tennessee, usa",25.0,usa
850,"bremen, bremen, germany",22.0,germany
853,"chesterfield, michigan, usa",24.0,usa
876,"hanover, massachusetts, usa",33.0,usa
882,"berkeley, california, usa",23.0,usa
899,"bielefeld, nordrhein-westfalen, germany",23.0,germany
900,"scranton, pennsylvania, usa",25.0,usa
901,"worcester, worcestershire, united kingdom",21.0,united kingdom
913,"manchester, lancs, united kingdom",44.0,united kingdom
914,"griesheim, hessen, germany",51.0,germany
915,"humble, texas, usa",50.0,usa
929,"king of prussia, ,",36.0,
945,"salerno, campania, italy",23.0,italy
989,"san antonio, texas, usa",33.0,usa
1009,"delano, minnesota, usa",56.0,usa
1025,"maidstone, england, united kingdom",33.0,united kingdom
1048,"oakville, ontario, canada",22.0,canada
1057,"norwich, norfolk, united kingdom",19.0,united kingdom
1063,"edmonton, alberta, canada",19.0,canada
1075,"hurst, texas, usa",49.0,usa
1087,"birmingham, alabama, usa",46.0,usa
1113,"richmond, missouri, usa",22.0,usa
1116,"calgary, alberta, canada",29.0,canada
1123,"lasalle, quebec, canada",23.0,canada
1129,"bothell, washington, usa",53.0,usa
1131,"berkeley, ,",22.0,
1133,"kingswood, south australia, australia",46.0,australia
1155,"smyrna, georgia, usa",22.0,usa
1167,"milwaukee, wisconsin, usa",25.0,usa
1169,"olympia, washington, usa",27.0,usa
1178,"heidelberg, baden-wuerttemberg, germany",9.0,germany
1184,"la mirada, california, usa",38.0,usa
1192,"klang, selangor, malaysia",27.0,malaysia
1211,"rennes, bretagne, france",22.0,france
1219,"taiping, perak, malaysia",17.0,malaysia
1231,"christchurch, n/a, new zealand",13.0,new zealand
1237,"valencia, valencia, spain",21.0,spain
1254,"16605 bennington ct, indiana, usa",26.0,usa
1261,"el paso, texas, usa",46.0,usa
1297,"los gatos, california, usa",30.0,usa
1309,"walker, louisiana, usa",28.0,usa
1331,"lisboa, n/a, portugal",32.0,portugal
1343,"bishop auckland, england, united kingdom",33.0,united kingdom
1348,"sacramento, california, usa",43.0,usa
1368,"hopewell, virginia, usa",22.0,usa
1372,"frankfurt, hessen, germany",34.0,germany
1399,"york, maine, usa",41.0,usa
1409,"farmington hills, michigan, usa",74.0,usa
1412,"winston-salem, north carolina, usa",47.0,usa
1421,"leioa, vizcaya, spain",55.0,spain
